company_id,company_name,company_type,segment,country,attendee_count,c_level_count,head_director_count,manager_count,engagement_events,top_topics,ticket_revenue_eur,is_sponsor,lead_count_as_sponsor,avg_lead_score,tier,interpretation,recommended_action
C029,Green Group,Investor/VC,Enterprise,CH,3,2,0,1,7,"['Marketplaces: What’s Next?', 'Payments: What’s Next?', 'Sustainability: What’s Next?']",2247.0,False,0,,Tier B,Strong representation (multiple attendees). Decision-makers present (C-level). Moderate engagement across sessions. High commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Warm outreach + content follow-up; qualify for sponsorship readiness.
C034,Nova Group,Retailer,Mid-market,ES,3,2,1,0,0,[],1847.0,False,0,,Tier B,Strong representation (multiple attendees). Decision-makers present (C-level). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Warm outreach + content follow-up; qualify for sponsorship readiness.
C013,Hyper Media,Media,SMB,IT,3,2,1,0,1,['Marketplaces: What’s Next?'],1248.0,False,0,,Tier B,Strong representation (multiple attendees). Decision-makers present (C-level). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Warm outreach + content follow-up; qualify for sponsorship readiness.
C071,Omni Brands,Retailer,Mid-market,CH,3,1,2,0,4,"['Marketplaces: What’s Next?', 'Retail Media: What’s Next?']",1247.0,False,0,,Tier B,Strong representation (multiple attendees). Decision-makers present (C-level). Moderate engagement across sessions. Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Warm outreach + content follow-up; qualify for sponsorship readiness.
C031,Nordic Capital,SaaS/Tech,Mid-market,FR,2,1,1,0,2,['Payments: What’s Next?'],1198.0,False,0,,Tier B,Some representation (at least one attendee). Decision-makers present (C-level). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Warm outreach + content follow-up; qualify for sponsorship readiness.
C023,Summit Group,Logistics,Enterprise,IT,2,1,1,0,0,[],848.0,True,60,3.12,Tier B,Some representation (at least one attendee). Decision-makers present (C-level). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Already a sponsor (focus on retention/expansion).,Sponsor success review + expansion package (upgrade tier / add-ons).
C050,Nova Labs,Marketplace,Mid-market,NL,1,0,0,0,0,[],1348.0,False,0,,Tier C,Some representation (at least one attendee). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Keep in nurture stream; monitor engagement and future signals.
C011,Omni Partners,Brand,SMB,DE,3,0,2,0,2,"['Retail Media: What’s Next?', 'Marketplaces: What’s Next?']",998.0,False,0,,Tier C,Strong representation (multiple attendees). Senior stakeholders present (Head/Director). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Keep in nurture stream; monitor engagement and future signals.
C005,Omni Logistics,Retailer,SMB,AT,2,0,1,0,0,[],948.0,False,0,,Tier C,Some representation (at least one attendee). Senior stakeholders present (Head/Director). Low engagement signals (few tracked interactions). Some commercial intent (ticket spend). Not a sponsor yet (potential for upsell if signals align).,Keep in nurture stream; monitor engagement and future signals.
C032,Nordic Brands,Investor/VC,SMB,UK,1,1,0,0,0,[],499.0,False,0,,Tier C,Some representation (at least one attendee). Decision-makers present (C-level). Low engagement signals (few tracked interactions). Not a sponsor yet (potential for upsell if signals align).,Keep in nurture stream; monitor engagement and future signals.
C019,Pulse Markets,Logistics,Mid-market,UK,2,0,0,2,7,"['Marketplaces: What’s Next?', 'Payments: What’s Next?', 'AI in Commerce: What’s Next?', 'Retail Media: What’s Next?', 'Sustainability: What’s Next?']",499.0,True,44,3.3,Tier C,Some representation (at least one attendee). Moderate engagement across sessions. Already a sponsor (focus on retention/expansion).,Keep in nurture stream; monitor engagement and future signals.
C001,Green Brands,Investor/VC,SMB,DE,0,0,0,0,0,[],0.0,False,0,,Tier C,No attendee representation in MVP dataset. Low engagement signals (few tracked interactions). Not a sponsor yet (potential for upsell if signals align).,Keep in nurture stream; monitor engagement and future signals.
